level,cb_code,cb_title,omop_concept_id,omop_name,omop_vocab,match
category,anti_cd20_monoclonal_antibodies,Anti-CD20 Monoclonal Antibodies,35807389,Anti-CD20 antibody,HemOnc,curated
category,antibody_drug_conjugate,Antibody-Drug Conjugate,35807221,Antibody-drug conjugate,HemOnc,curated
category,antibody_drug_conjugate_(adc),Antibody-Drug Conjugate (ADC),35807221,Antibody-drug conjugate,HemOnc,curated
category,bispecific_antibody,Bispecific Antibody,35807364,Bispecific antibody medication,HemOnc,curated
category,car_t_cell_therapy,CAR-T Cell Therapy,35807448,Chimeric antigen receptor T-cell,HemOnc,curated
category,chemotherapy,Chemotherapy,,,,no_omop
category,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238,Alkylating agent,HemOnc,curated
category,chemotherapy_(anthracycline),Chemotherapy (Anthracycline),35807214,Anthracycline,HemOnc,curated
category,corticosteroid,Corticosteroid,21602723,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",,curated
category,diagnostic_tool,Diagnostic Tool,,,,no_omop
category,hdac_inhibitor,HDAC Inhibitor,947794,Histone deacetylase (HDAC) inhibitors,ATC,curated
category,hormonal_therapy,Hormonal Therapy,21603812,ENDOCRINE THERAPY,ATC,curated
category,immunomodulatory_drug_(imid),Immunomodulatory Drug (IMiD),35807403,Immunomodulatory drugs (IMiDs),HemOnc,curated
category,immunotherapy,Immunotherapy,35807189,Immunotherapeutic,HemOnc,curated
category,monoclonal_antibody,Monoclonal Antibody,21603754,Monoclonal antibodies,ATC,auto
category,monoclonal_antibody_(anti_cd38),Monoclonal Antibody (Anti-CD38),35807345,Anti-CD38 antibody,HemOnc,curated
category,monoclonal_antibody_(anti_slamf7),Monoclonal Antibody (Anti-SLAMF7),35807363,Anti-SLAMF7 antibody,HemOnc,curated
category,mtor_inhibitor,mTOR Inhibitor,35807369,MTOR inhibitor,HemOnc,curated
category,pi3k_inhibitors,PI3K Inhibitors,35807303,PI3K inhibitor,HemOnc,curated
category,proteasome_inhibitor,Proteasome Inhibitor,35807295,Proteasome inhibitor,HemOnc,curated
category,radiotherapy,Radiotherapy,35807298,Radiation,HemOnc,curated
category,stem_cell_transplant,Stem Cell Transplant,,,,no_omop
category,supportive_therapy,Supportive Therapy,,,,no_omop
category,supportive_therapy_(bisphosphonate),Supportive Therapy (Bisphosphonate),35807233,Bisphosphonate,HemOnc,curated
category,supportive_therapy_(rankl_inhibitor),Supportive Therapy (RANKL Inhibitor),35807351,RANK ligand inhibitor,HemOnc,curated
category,surgery,Surgery,,,,no_omop
category,targeted_therapy,Targeted Therapy,912163,Targeted therapeutic,HemOnc,curated
category,targeted_therapy_(bcl_2_inhibitor),Targeted Therapy (BCL-2 Inhibitor),35807456,Bcl-2 inhibitor,HemOnc,curated
category,targeted_therapy_(xpo1_inhibitor),Targeted Therapy (XPO1 Inhibitor),35807438,XPO1 inhibitor,HemOnc,curated
category,treatment_for_high_risk_smoldering_multiple_myeloma,Treatment for High-Risk Smoldering Multiple Myeloma,,,,no_omop
category,tyrosine_kinase_inhibitor,Tyrosine Kinase Inhibitor,912198,Tyrosine kinase inhibitor,HemOnc,curated
component,abemaciclib,Abemaciclib,792649,abemaciclib,RxNorm,auto
component,agsct,Allogeneic Stem Cell Transplant,42542298,Allogeneic stem cells,HemOnc,curated
component,alpelisib,Alpelisib,1396423,alpelisib,RxNorm,auto
component,amivantamab,Amivantamab,1536935,amivantamab,RxNorm,auto
component,analgesic_opioid_agent,Analgesic Opioid Agent,21604200,,,curated
component,anastrozole,Anastrozole,1348265,anastrozole,RxNorm,auto
component,antiviral,Antiviral,35625639,,,curated
component,aromatase_inhibitor,Aromatase Inhibitor,,,,no_omop
component,asct,Autologous Stem Cell Transplant (ASCT),37560622,Autologous stem cells,HemOnc,curated
component,aspirin,Aspirin,1112807,aspirin,RxNorm,curated
component,atezolizumab,Atezolizumab,42629079,atezolizumab,RxNorm,auto
component,axicabtagene_ciloleucel_(yescarta),Axicabtagene Ciloleucel (Yescarta),792844,axicabtagene ciloleucel,RxNorm,auto
component,belantamab_mafodotin,Belantamab Mafodotin (Blenrep),37002419,belantamab mafodotin,RxNorm,auto
component,belantamab_mafodotin_(blenrep),Belantamab Mafodotin (Blenrep),37002419,belantamab mafodotin,RxNorm,auto
component,bendamustine,Bendamustine,19015523,bendamustine,RxNorm,auto
component,blinatumomab,Blinatumomab,45892531,blinatumomab,RxNorm,auto
component,bortezomib,Bortezomib,1336825,bortezomib,RxNorm,auto
component,breyanzi_(lisocabtagene_maraleucel),Breyanzi (lisocabtagene maraleucel),739856,lisocabtagene maraleucel,RxNorm,curated
